day,date,portfolio_value,daily_return_pct,cumulative_return_pct
204,2025-06-12,909698.98,0.4958,-9.0301
205,2025-06-13,902728.22,-0.7663,-9.7272
206,2025-06-16,893104.85,-1.066,-10.6895
207,2025-06-17,893673.98,0.0637,-10.6326
208,2025-06-18,889617.97,-0.4539,-11.0382
209,2025-06-19,892053.19,0.2737,-10.7947
210,2025-06-20,863618.62,-3.1875,-13.6381
211,2025-06-23,889300.06,2.9737,-11.07
212,2025-06-24,886805.62,-0.2805,-11.3194
213,2025-06-25,909723.85,2.5844,-9.0276
214,2025-06-26,895708.02,-1.5407,-10.4292
215,2025-06-27,899369.71,0.4088,-10.063
216,2025-06-30,941796.69,4.7174,-5.8203
217,2025-07-01,929227.53,-1.3346,-7.0772
218,2025-07-02,908106.66,-2.2729,-9.1893
219,2025-07-03,900389.89,-0.8498,-9.961
220,2025-07-04,906501.13,0.6787,-9.3499
221,2025-07-07,915656.89,1.01,-8.4343
222,2025-07-08,933105.19,1.9056,-6.6895
223,2025-07-09,929227.96,-0.4155,-7.0772
224,2025-07-10,906616.35,-2.4334,-9.3384
225,2025-07-11,900428.29,-0.6825,-9.9572
226,2025-07-14,916909.13,1.8303,-8.3091
227,2025-07-15,923038.62,0.6685,-7.6961
228,2025-07-16,895666.75,-2.9654,-10.4333
229,2025-07-17,894927.14,-0.0826,-10.5073
230,2025-07-18,913427.54,2.0673,-8.6572
231,2025-07-21,942290.22,3.1598,-5.771
232,2025-07-22,949946.61,0.8125,-5.0053
233,2025-07-23,954068.94,0.434,-4.5931
234,2025-07-24,936034.09,-1.8903,-6.3966
235,2025-07-25,923913.72,-1.2949,-7.6086
236,2025-07-28,924286.74,0.0404,-7.5713
237,2025-07-29,930985.94,0.7248,-6.9014
238,2025-07-30,938808.79,0.8403,-6.1191
239,2025-07-31,931792.96,-0.7473,-6.8207
240,2025-08-01,915412.84,-1.7579,-8.4587
241,2025-08-04,904458.35,-1.1967,-9.5542
242,2025-08-05,888490.48,-1.7655,-11.151
243,2025-08-06,896798.88,0.9351,-10.3201
244,2025-08-07,865425.07,-3.4984,-13.4575
245,2025-08-08,860839.04,-0.5299,-13.9161
246,2025-08-11,866389.88,0.6448,-13.361
247,2025-08-12,885909.81,2.253,-11.409
248,2025-08-13,886591.51,0.0769,-11.3408
249,2025-08-14,899641.48,1.4719,-10.0359
250,2025-08-15,893987.18,-0.6285,-10.6013
251,2025-08-18,883736.67,-1.1466,-11.6263
252,2025-08-19,874531.76,-1.0416,-12.5468
253,2025-08-20,894304.96,2.261,-10.5695
254,2025-08-21,907373.72,1.4613,-9.2626
255,2025-08-22,913735.29,0.7011,-8.6265
256,2025-08-25,959105.93,4.9654,-4.0894
257,2025-08-26,958352.91,-0.0785,-4.1647
258,2025-08-27,966983.12,0.9005,-3.3017
259,2025-08-28,971154.56,0.4314,-2.8845
260,2025-08-29,967630.93,-0.3628,-3.2369
261,2025-09-01,1000958.63,3.4443,0.0959
262,2025-09-02,1023279.08,2.2299,2.3279
263,2025-09-03,1001491.22,-2.1292,0.1491
264,2025-09-04,995184.14,-0.6298,-0.4816
265,2025-09-05,1001279.69,0.6125,0.128
266,2025-09-08,1012742.08,1.1448,1.2742
267,2025-09-09,991953.82,-2.0527,-0.8046
268,2025-09-10,958095.04,-3.4133,-4.1905
269,2025-09-11,930410.4,-2.8896,-6.959
270,2025-09-12,929138.84,-0.1367,-7.0861
271,2025-09-15,927421.75,-0.1848,-7.2578
272,2025-09-16,931945.98,0.4878,-6.8054
273,2025-09-17,920906.97,-1.1845,-7.9093
274,2025-09-18,903719.56,-1.8664,-9.628
275,2025-09-19,876024.46,-3.0646,-12.3976
276,2025-09-22,880087.3,0.4638,-11.9913
277,2025-09-23,884708.47,0.5251,-11.5292
278,2025-09-24,897620.7,1.4595,-10.2379
279,2025-09-25,907998.94,1.1562,-9.2001
280,2025-09-26,905128.99,-0.3161,-9.4871
281,2025-09-29,917432.06,1.3593,-8.2568
282,2025-09-30,916272.73,-0.1264,-8.3727
283,2025-10-01,910309.29,-0.6508,-8.9691
284,2025-10-02,905661.45,-0.5106,-9.4339
285,2025-10-03,900455.6,-0.5748,-9.9544
286,2025-10-06,881044.15,-2.1557,-11.8956
287,2025-10-07,882509.55,0.1663,-11.749
288,2025-10-08,884803.07,0.2599,-11.5197
289,2025-10-09,881686.21,-0.3523,-11.8314
290,2025-10-10,875480.54,-0.7038,-12.4519
291,2025-10-13,878823.16,0.3818,-12.1177
292,2025-10-14,893999.29,1.7269,-10.6001
293,2025-10-15,894430.7,0.0483,-10.5569
294,2025-10-16,889979.71,-0.4976,-11.002
295,2025-10-17,884804.95,-0.5814,-11.5195
296,2025-10-20,884276.22,-0.0598,-11.5724
297,2025-10-21,873180.62,-1.2548,-12.6819
298,2025-10-22,872174.19,-0.1153,-12.7826
299,2025-10-23,872795.02,0.0712,-12.7205
300,2025-10-24,888982.57,1.8547,-11.1017
301,2025-10-27,897458.78,0.9535,-10.2541
302,2025-10-28,906828.51,1.044,-9.3171
303,2025-10-29,900453.98,-0.7029,-9.9546
304,2025-10-30,906576.36,0.6799,-9.3424
305,2025-10-31,896337.64,-1.1294,-10.3662
306,2025-11-03,899223.5,0.322,-10.0777
307,2025-11-04,903078.8,0.4287,-9.6921
308,2025-11-05,896247.83,-0.7564,-10.3752
309,2025-11-06,914256.85,2.0094,-8.5743
310,2025-11-07,919535.53,0.5774,-8.0464
311,2025-11-10,902131.22,-1.8927,-9.7869
312,2025-11-11,907208.96,0.5629,-9.2791
313,2025-11-12,903603.6,-0.3974,-9.6396
314,2025-11-13,903706.4,0.0114,-9.6294
315,2025-11-14,908005.91,0.4758,-9.1994
316,2025-11-17,911642.78,0.4005,-8.8357
317,2025-11-18,893144.16,-2.0292,-10.6856
318,2025-11-19,882888.01,-1.1483,-11.7112
319,2025-11-20,889797.71,0.7826,-11.0202
320,2025-11-21,901464.77,1.3112,-9.8535
321,2025-11-24,918711.17,1.9132,-8.1289
322,2025-11-25,935368.95,1.8132,-6.4631
323,2025-11-26,916235.64,-2.0455,-8.3764
324,2025-11-27,923377.53,0.7795,-7.6622
325,2025-11-28,905775.27,-1.9063,-9.4225
326,2025-12-01,920481.45,1.6236,-7.9519
327,2025-12-02,922905.53,0.2633,-7.7094
328,2025-12-03,912465.91,-1.1312,-8.7534
329,2025-12-04,930896.82,2.0199,-6.9103
330,2025-12-05,936984.61,0.654,-6.3015
331,2025-12-08,919358.54,-1.8811,-8.0641
332,2025-12-09,922148.5,0.3035,-7.7852
333,2025-12-10,915498.52,-0.7211,-8.4501
334,2025-12-11,916608.98,0.1213,-8.3391
335,2025-12-12,912436.62,-0.4552,-8.7563
336,2025-12-15,925060.13,1.3835,-7.494
337,2025-12-16,911986.38,-1.4133,-8.8014
338,2025-12-17,914972.27,0.3274,-8.5028
339,2025-12-18,931663.08,1.8242,-6.8337
340,2025-12-19,924051.77,-0.817,-7.5948
341,2025-12-22,926090.68,0.2206,-7.3909
342,2025-12-23,928054.0,0.212,-7.1946
343,2025-12-24,921746.0,-0.6797,-7.8254
344,2025-12-25,927810.11,0.6579,-7.219
345,2025-12-26,928803.33,0.1071,-7.1197
346,2025-12-29,920130.47,-0.9338,-7.987
347,2025-12-30,936435.33,1.772,-6.3565
348,2025-12-31,943941.93,0.8016,-5.6058
349,2026-01-01,942458.93,-0.1571,-5.7541
350,2026-01-02,936552.78,-0.6267,-6.3447
351,2026-01-05,929300.47,-0.7744,-7.07
352,2026-01-06,940832.54,1.2409,-5.9167
353,2026-01-07,939548.51,-0.1365,-6.0451
354,2026-01-08,943959.11,0.4694,-5.6041
355,2026-01-09,942312.31,-0.1745,-5.7688
356,2026-01-12,948215.04,0.6264,-5.1785
